C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_27_696.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_27_696.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_27_696.jpg, 0, 0, 0, 7.807022E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_27_815.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_27_815.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_27_815.jpg, 0, 0, 0, 7.809125E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_27_916.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_27_916.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_27_916.jpg, 0, 0, 0, 7.857943E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_031.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_031.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_031.jpg, 0, 0, 0, 7.797385E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_134.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_134.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_134.jpg, 0, 0, 0, 7.729777E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_253.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_253.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_253.jpg, 0, 0, 0, 7.930634E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_361.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_361.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_361.jpg, 0, 0, 0, 7.906636E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_480.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_480.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_480.jpg, 0, 0, 0, 8.062649E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_617.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_617.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_617.jpg, 0, 0, 0, 8.017896E-05
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_740.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_740.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_740.jpg, 0, 0.364125, 0, 0.4874638
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_851.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_851.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_851.jpg, -0.1679604, 0.7000077, 0, 1.348743
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_28_979.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_28_979.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_28_979.jpg, 0, 1, 0, 2.742221
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_077.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_077.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_077.jpg, 0, 1, 0, 3.914712
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_201.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_201.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_201.jpg, 0, 1, 0, 5.31379
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_306.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_306.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_306.jpg, 0, 1, 0, 6.466815
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_420.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_420.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_420.jpg, -0.3384348, 1, 0, 7.781922
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_522.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_522.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_522.jpg, -0.6468861, 1, 0, 8.842359
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_640.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_640.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_640.jpg, -0.296178, 1, 0, 10.1921
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_750.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_750.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_750.jpg, 0, 1, 0, 11.60897
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_880.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_880.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_880.jpg, 0, 1, 0, 12.83649
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_29_982.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_29_982.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_29_982.jpg, 0, 1, 0, 13.83823
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_112.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_112.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_112.jpg, 0, 1, 0, 15.12012
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_211.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_211.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_211.jpg, 0, 1, 0, 16.41226
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_334.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_334.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_334.jpg, -0.3686061, 1, 0, 17.59336
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_441.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_441.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_441.jpg, -0.6904398, 1, 0, 18.42463
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_563.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_563.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_563.jpg, -0.3279954, 1, 0, 19.69291
C:\Autonomous-Car\Data\IMG\center_2025_04_11_23_55_30_662.jpg, C:\Autonomous-Car\Data\IMG\left_2025_04_11_23_55_30_662.jpg, C:\Autonomous-Car\Data\IMG\right_2025_04_11_23_55_30_662.jpg, -0.06359216, 0.9432034, 0, 20.66455
